name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Timmy Cuamba,8,2,175.26,70.3,180.34,1.0,25.0,2.53,0.34,4.23,0.57,0.5,0.16,0.71,0.0,2279
Loma Lookboonmee,9,3,154.94,52.2,154.94,1.0,28.0,4.1,0.57,2.48,0.53,1.9,0.5,0.72,0.1,1459
Bruna Brasil,9,4,167.64,52.2,165.1,1.0,30.0,2.94,0.62,3.92,0.51,1.59,0.62,0.53,0.0,311
Devin Clark,14,9,182.88,93.0,190.5,1.0,33.0,3.03,0.54,3.24,0.44,2.17,0.32,0.58,0.1,635
Marcin Prachnio,17,7,190.5,93.0,187.96,1.0,35.0,5.61,0.55,3.3,0.54,0.17,0.2,0.58,0.0,1536
Max Griffin,20,10,180.34,77.1,193.04,1.0,38.0,3.92,0.49,3.81,0.57,1.45,0.41,0.68,0.3,1627
Jeremiah Wells,12,4,175.26,77.1,187.96,3.0,37.0,2.41,0.43,1.31,0.48,3.08,0.44,0.8,0.8,1075
Zac Pauga,7,3,187.96,93.0,193.04,1.0,36.0,4.46,0.62,2.73,0.58,0.38,0.07,1.0,0.0,2455
Bogdan Guskov,15,3,190.5,93.0,193.04,1.0,31.0,2.43,0.33,5.81,0.4,0.0,0.0,0.66,0.0,257
Fernie Garcia,10,5,170.18,61.2,170.18,1.0,31.0,2.04,0.34,3.79,0.48,0.28,0.5,0.5,0.6,779
Hyder Amil,9,0,175.26,65.8,177.8,3.0,33.0,4.73,0.54,2.16,0.61,0.68,0.33,0.78,2.0,918
Roman Dolidze,12,3,187.96,83.9,193.04,1.0,35.0,2.62,0.39,3.36,0.51,1.3,0.4,0.33,1.3,2012
Nassourdine Imavov,13,4,190.5,83.9,190.5,1.0,29.0,4.53,0.54,3.26,0.61,0.87,0.31,0.76,1.5,1747
Renato Moicano,18,5,180.34,70.3,182.88,1.0,34.0,4.41,0.47,3.8,0.6,1.8,0.47,0.72,0.6,1933
Drew Dober,27,13,172.72,70.3,177.8,2.0,35.0,4.34,0.4,4.23,0.51,0.71,0.18,0.56,0.1,675
Randy Brown,18,5,190.5,77.1,198.12,1.0,33.0,4.37,0.46,3.33,0.54,0.78,0.39,0.74,0.5,1910
Muslim Salikhov,19,5,180.34,77.1,177.8,1.0,39.0,3.36,0.51,2.94,0.62,1.27,0.4,0.73,0.0,1736
Viviane Araujo,12,6,162.56,56.7,172.72,1.0,37.0,4.11,0.47,4.96,0.56,1.76,0.4,0.78,0.6,2383
Natalia Silva,17,5,162.56,56.7,165.1,2.0,27.0,4.53,0.44,2.1,0.65,0.5,0.28,0.91,0.0,1748
Gilbert Urbina,7,4,190.5,77.1,190.5,1.0,27.0,5.61,0.57,4.61,0.44,3.01,0.44,0.0,0.8,853
Charles Radtke,9,3,175.26,77.1,182.88,1.0,33.0,3.29,0.52,3.03,0.54,0.76,0.16,1.0,0.0,386
Molly McCann,14,6,162.56,52.2,157.48,1.0,33.0,5.79,0.49,4.94,0.63,1.82,0.38,0.43,0.6,1721
Diana Belbita,15,9,170.18,52.2,172.72,1.0,27.0,6.54,0.42,6.55,0.51,0.91,0.62,0.65,0.0,639
Azat Maksum,17,1,170.18,56.7,177.8,2.0,29.0,2.8,0.23,5.23,0.55,2.0,0.22,0.66,0.5,206
Charles Johnson,14,6,175.26,56.7,177.8,3.0,33.0,4.45,0.55,3.15,0.59,0.48,0.23,0.63,0.6,382
Themba Gorimbo,12,4,185.42,77.1,195.58,1.0,33.0,2.3,0.6,1.67,0.46,3.39,0.45,0.66,0.0,2254
Pete Rodriguez,5,2,175.26,77.1,180.34,3.0,27.0,9.28,0.43,12.83,0.42,0.0,0.0,1.0,0.0,1864
JeongYeong Lee,11,1,177.8,65.8,185.42,1.0,28.0,2.81,0.53,1.57,0.59,0.96,0.66,0.76,0.5,1074
Blake Bilder,8,2,172.72,65.8,172.72,3.0,33.0,3.81,0.48,4.15,0.53,0.31,0.07,0.71,0.6,246
Luana Carolina,10,4,167.64,56.7,175.26,1.0,30.0,4.63,0.49,3.63,0.49,0.38,0.42,0.76,0.6,1468
Julija Stoliarenko,11,9,170.18,56.7,167.64,1.0,30.0,2.49,0.39,4.54,0.46,0.93,0.27,0.54,1.7,1281
Landon Quinones,7,3,175.26,70.3,177.8,2.0,28.0,6.77,0.4,7.7,0.55,0.5,0.33,1.0,0.0,1422
MarQuel Mederos,9,1,177.8,70.3,175.26,1.0,27.0,4.39,0.45,3.29,0.63,0.0,0.0,0.9,0.0,1524
Thomas Petersen,8,2,185.42,119.8,187.96,2.0,28.0,3.79,0.68,3.79,0.46,2.84,0.44,1.0,0.7,2264
Jamal Pogues,11,4,190.5,93.0,195.58,1.0,28.0,3.36,0.44,4.17,0.5,2.4,0.48,0.77,0.0,995
Sean Strickland,28,6,185.42,83.9,193.04,1.0,33.0,5.91,0.41,4.33,0.62,0.85,0.64,0.77,0.2,2118
Dricus Du Plessis,21,2,185.42,83.9,193.04,3.0,30.0,6.49,0.5,4.77,0.55,3.0,0.51,0.4,0.8,678
Raquel Pennington,16,9,170.18,61.2,170.18,1.0,35.0,4.14,0.52,3.29,0.6,0.9,0.27,0.63,0.7,1917
